,Station,Issue date/time,Validity from,Validity To,Wind dir (deg),Wind Speed,Gust,Significant Wx,FCST/OBS
0,VABB,040730,040800Z,041200Z,250,17KT,27KT,,FCST
1,VABB,060715,060730Z,061130Z,270,17KT,27KT,,FCST
2,VABB,062300,062300Z,070300Z,250,17KT,27KT,,OBS
3,VABB,100330,100400Z,100800Z,270,17KT,27KT,,FCST
4,VABB,100730,100800Z,101200Z,270,17KT,27KT,,FCST
5,VABB,110630,110700Z,111100Z,,17KT,27KT,,FCST
6,VABB,111030,111100Z,111500Z,250,17KT,27KT,,FCST
7,VABB,111300,111330Z,111730Z,250,17KT,27KT,TSRA,FCST
8,VABB,120800,120830Z,121230Z,250,17KT,27KT,,FCST
9,VABB,161030,161100Z,161500Z,250,17KT,27KT,,FCST
10,VAJJ,161030,161100Z,161500Z,250,17KT,27KT,,FCST
11,VABB,162325,162330Z,170330Z,250,17KT,27KT,,OBS
12,VABB,170315,170315Z,170715Z,230,17KT,27KT,,OBS
13,VAJJ,170315,170315Z,170715Z,230,17KT,27KT,,OBS
14,VABB,170715,170715Z,171115Z,230,17KT,30KT,,OBS
15,VAJJ,170715,170715Z,171115Z,230,17KT,30KT,,OBS
16,VABB,171045,171115Z,171515Z,250,17KT,27KT,,
17,VAJJ,171045,171115Z,171515Z,250,17KT,27KT,,
18,VABB,172300,172330Z,180330Z,230,17KT,27KT,,FCST
19,VAJJ,172300,172330Z,180330Z,230,17KT,27KT,,FCST
20,VABB,180415,180415Z,180815Z,230,17KT,27KT,,OBS
21,VAJJ,180415,180415Z,180815Z,230,17KT,27KT,,OBS
22,VABB,180745,180815Z,181215Z,230,17KT,27KT,,FCST
23,VAJJ,180745,180815Z,181215Z,230,17KT,27KT,,FCST
24,VABB,181145,181215Z,181615Z,230,17KT,27KT,,FCST
25,VAJJ,181145,181215Z,181615Z,230,17KT,27KT,,FCST
26,VABB,181730,181745Z,182145Z,230,17KT,27KT,,FCST
27,VAJJ,181730,181745Z,182145Z,230,17KT,27KT,,FCST
28,VABB,190545,190600Z,191000Z,230,17KT,27KT,,FCST
29,VAJJ,190545,190600Z,191000Z,230,17KT,27KT,,FCST
30,VABB,200530,200600Z,201000Z,200,17KT,27KT,,FCST
31,VAJJ,200530,200600Z,201000Z,200,17KT,27KT,,FCST
32,VABB,200830,200900Z,201300Z,200,17KT,27KT,TSRA,FCST
33,VAJJ,200830,200900Z,201300Z,200,17KT,27KT,TSRA,FCST
34,VABB,201230,201300Z,201700Z,180,17KT,27KT,TSRA,FCST
35,VABB,201630,201700Z,202100Z,160,17KT,27KT,TSRA,FCST
36,VABB,202130,202200Z,210200Z,160,17KT,27KT,TSRA,FCST
37,VABB,210130,210200Z,210600Z,180,17KT,27KT,TSRA,FCST
38,VAJJ,210130,210200Z,210600Z,180,17KT,27KT,TSRA,FCST
39,VABB,210930,211000Z,211400Z,200,17KT,27KT,-TSRA,FCST
40,VAJJ,210930,211000Z,211400Z,200,17KT,27KT,-TSRA,FCST
41,VABB,211330,211400Z,211800Z,200,17KT,27KT,-TSRA,FCST
42,VAJJ,211330,211400Z,211800Z,200,17KT,27KT,-TSRA,FCST
43,VABB,211730,211800Z,212200Z,200,17KT,27KT,-TSRA,FCST
44,VABB,212130,212200Z,220200Z,200,17KT,27KT,TSRA,FCST
45,VABB,220630,220700Z,221100Z,,,,TSRA,
46,VABB,221530,221600Z,222000Z,180,17KT,27KT,TSRA,FCST
47,VABB,221930,222000Z,222400Z,180,17KT,27KT,TSRA,FCST
48,VABB,222330,230000Z,230400Z,180,17KT,27KT,TSRA,FCST
49,VAJJ,222330,230000Z,230400Z,180,17KT,27KT,TSRA,FCST
50,VABB,230630,230700Z,231100Z,250,17KT,27KT,TSRA,FCST
51,VAJJ,230630,230700Z,231100Z,250,17KT,27KT,TSRA,FCST
52,VABB,231130,231200Z,231600Z,,,,TSRA,FCST
53,VAJJ,231130,231200Z,231600Z,,,,TSRA,FCST
54,VABB,231640,231700Z,232100Z,,,,TSRA,FCST
55,VAJJ,231640,231700Z,232100Z,,,,TSRA,FCST
56,VABB,240615,240640Z,241040Z,250,17KT,27KT,-TSRA,FCST
57,VAJJ,240615,240640Z,241040Z,250,17KT,27KT,-TSRA,FCST
58,VABB,241230,241300Z,241700Z,,,,TSRA,FCST
59,VABB,250430,250500Z,250900Z,230,17KT,27KT,,FCST
60,VAJJ,250430,250500Z,250900Z,230,17KT,27KT,,FCST
61,VABB,251300,251330Z,251730Z,290,17KT,27KT,TSRA,FCST
62,VABB,261230Z,261300Z,261700Z,290,17KT,27KT,TS,FCST
63,VABB,261630Z,261700Z,262100Z,,,,TSRA,FCST
64,VABB,270700,270730Z,271130Z,,,,TSRA,
65,VABB,271430,271500Z,271900Z,70,17KT,27KT,+TSRA,FCST
66,VABB,280700,280730Z,281130Z,70,17KT,27KT,-TS,FCST
67,VABB,280945,280945Z,281345Z,230,17KT,27KT,TSRA,OBS
68,VAJJ,280945,280945Z,281345Z,230,17KT,27KT,TSRA,OBS
69,VABB,281615,281615Z,282015Z,50,17KT,27KT,-TSRA,OBS
70,VABB,290700,290730Z,291130Z,290,17KT,27KT,-TS,FCST
71,VABB,291100,291130Z,291530Z,,,,TSRA,FCST
72,VAJJ,291100,291130Z,291530Z,,,,TSRA,FCST
73,VABB,291500,291530Z,291930Z,,,,TSRA,FCST
74,VABB,291500,291530Z,291930Z,,,,TSRA,FCST
75,VABB,301330,301400Z,301800Z,70,20KT,30KT,,OBS
76,VABB,301415,301430Z,301830Z,,,,TSRA,OBS
77,VABB,301800,301830Z,302230Z,20,20KT,30KT,TSRA,FCST
78,VABB,302200,302230Z,0102300Z,20,17KT,27KT,TSRA,FCST
79,VAJJ,302200,302230Z,0102300Z,20,17KT,27KT,TSRA,FCST
